rank,name,networth,age,country,source,industry
1238,Zhang Ning & family ,$2.5 B,48,Canada,chemicals,Manufacturing 
1238,Zhao Tao ,$2.5 B,56,Singapore,pharmaceuticals,Healthcare 
1238,Hongyi Zhou ,$2.5 B,51,China,security software,Technology 
1292,Rajendra Agarwal ,$2.4 B,63,India,pharmaceuticals,Healthcare 
1292,George Argyros & family ,$2.4 B,85,United States,"real estate, investments",Real Estate 
1292,Edward Bass ,$2.4 B,76,United States,"oil, investments",Energy 
1292,Banwari Lal Bawri ,$2.4 B,69,India,pharmaceuticals,Healthcare 
1292,Girdhari Lal Bawri ,$2.4 B,74,India,pharmaceuticals,Healthcare 
1292,Chao Teng-hsiung ,$2.4 B,77,Taiwan,real estate,Real Estate 
1292,Zhisong Chen ,$2.4 B,56,China,communication equipment,Technology 
1292,Chey Tae-won ,$2.4 B,61,South Korea,"oil, semiconductor",Telecom 
1292,Choo Chong Ngen ,$2.4 B,68,Singapore,hotels,Real Estate 
1292,John Coates ,$2.4 B,52,United Kingdom,online gambling,Gambling & Casinos 
1292,Alexandra Daitch ,$2.4 B,59,United States,Cargill,Food & Beverage 
1292,Chetan Dube ,$2.4 B,56,United States,technology,Technology 
1292,Daniel Ek ,$2.4 B,39,Sweden,Spotify,Technology 
1292,John Fisher ,$2.4 B,60,United States,Gap,Fashion & Retail 
1292,Bernard Fraisse & family ,$2.4 B,65,France,pharmaceuticals,Healthcare 
1292,William Franke ,$2.4 B,84,United States,low-cost airlines,Diversified 
1292,Caroline Hagen Kjos ,$2.4 B,38,Norway,conglomerate,Diversified 
1292,Lam Kong ,$2.4 B,57,China,pharmaceuticals,Healthcare 
1292,Hans Langer ,$2.4 B,70,Germany,3D printing,Manufacturing 
1292,Joe Lau ,$2.4 B,32,United States,"blockchain, technology",Technology 
1292,Kevin David Lehmann ,$2.4 B,19,Germany,drugstores,Fashion & Retail 
1292,Liang Qin & family ,$2.4 B,50,China,semiconductor devices,Technology 
1292,Peter Lim ,$2.4 B,68,Singapore,investments,Finance & Investments 
1292,Sarah MacMillan ,$2.4 B,68,United States,Cargill,Food & Beverage 
1292,Kalanithi Maran ,$2.4 B,56,India,media,Media & Entertainment 
1292,Lirio Parisotto ,$2.4 B,68,Brazil,investments,Finance & Investments 
1292,Rajan Raheja & family ,$2.4 B,67,India,diversified,Diversified 
1292,Alberto Roemmers ,$2.4 B,95,Argentina,pharmaceuticals,Healthcare 
1292,Rodney Sacks ,$2.4 B,72,United States,energy drinks,Food & Beverage 
1292,Ferit Faik Sahenk ,$2.4 B,58,Turkey,diversified,Diversified 
1292,Hilton Schlosberg ,$2.4 B,69,United Kingdom,energy drinks,Food & Beverage 
1292,Alberto Siccardi & family ,$2.4 B,77,Switzerland,medical devices,Healthcare 
1292,Salil Singhal ,$2.4 B,74,India,agrochemicals,Manufacturing 
1292,Lucy Stitzer ,$2.4 B,62,United States,Cargill,Food & Beverage 
1292,Otto Toto Sugiri ,$2.4 B,68,Indonesia,data centers,Technology 
1292,Harley Sy ,$2.4 B,62,Philippines,diversified,Diversified 
1292,Teresita Sy-Coson ,$2.4 B,71,Philippines,diversified,Diversified 
1292,Katsumi Tada ,$2.4 B,76,Japan,real estate,Real Estate 
1292,Tang Yiu ,$2.4 B,88,Hong Kong,fashion retail,Fashion & Retail 
1292,Jeff Tangney ,$2.4 B,49,United States,healthcare IT,Healthcare 
1292,Lottie Tham & family ,$2.4 B,72,Sweden,H&M,Fashion & Retail 
1292,T.Y. Tsai ,$2.4 B,69,Taiwan,finance,Finance & Investments 
1292,Timur Turlov ,$2.4 B,34,Russia,stock brokerage,Finance & Investments 
1292,Hamdi Ulukaya ,$2.4 B,49,Turkey,greek yogurt,Food & Beverage 
1292,Peter Unger ,$2.4 B,77,Germany,auto repair,Automotive 
1292,Nikil Viswanathan ,$2.4 B,34,United States,blockchain technology,Technology 
1292,Anthony Wood ,$2.4 B,56,United States,Roku,Technology 
1292,Zhang Hongwei ,$2.4 B,67,China,"oil, banking",Diversified 
1292,Zhang Li ,$2.4 B,69,China,real estate,Real Estate 
1341,Houshan Bai ,$2.3 B,58,China,lithium battery,Energy 
1341,Alex Beard ,$2.3 B,54,United Kingdom,"mining, commodities",Metals & Mining 
1341,Koos Bekker ,$2.3 B,69,South Africa,"media, investments",Media & Entertainment 
1341,William Boyd & family ,$2.3 B,90,United States,"casinos, banking",Gambling & Casinos 
1341,Timothy Boyle ,$2.3 B,72,United States,Columbia Sportswear,Fashion & Retail 
1341,Anand Burman ,$2.3 B,69,India,consumer goods,Food & Beverage 
1341,Richard Chandler ,$2.3 B,63,New Zealand,investments,Finance & Investments 
1341,R.G. Chandramogan ,$2.3 B,73,India,dairy,Food & Beverage 
1341,Cho Young-sik ,$2.3 B,60,South Korea,diagnostics,Healthcare 
1341,Chu Lam Yiu ,$2.3 B,52,Hong Kong,flavorings,Manufacturing 
1341,Kommer Damen ,$2.3 B,78,Netherlands,shipbuilding,Manufacturing 
1341,Henry Davis ,$2.3 B,71,United States,beef processing,Food & Beverage 
1341,Ray Davis ,$2.3 B,80,United States,pipelines,Energy 
1341,Stephen Feinberg ,$2.3 B,62,United States,private equity,Finance & Investments 
1341,Kenneth Feld & family ,$2.3 B,73,United States,live entertainment,Media & Entertainment 
1341,Alexander Frolov ,$2.3 B,57,Russia,"mining, steel",Metals & Mining 
1341,Mario Germano Giuliani ,$2.3 B,50,Switzerland,pharmaceuticals,Healthcare 
1341,Serge Godin ,$2.3 B,72,Canada,information technology,Technology 
1341,Noam Gottesman ,$2.3 B,60,United States,hedge funds,Finance & Investments 
1341,Philip & Cristina Green ,$2.3 B,70,United Kingdom,fashion retail,Fashion & Retail 
1341,Yusuf Hamied ,$2.3 B,85,India,pharmaceuticals,Healthcare 
1341,Bill Haslam ,$2.3 B,63,United States,gas stations,Fashion & Retail 
1341,Hans-Werner Hector ,$2.3 B,82,Germany,SAP,Technology 
1341,Ho Hung Anh ,$2.3 B,51,Vietnam,"consumer products, banking",Finance & Investments 
1341,Douglas Hsu ,$2.3 B,79,Taiwan,diversified,Diversified 
1341,Erman Ilicak ,$2.3 B,54,Turkey,construction,Construction & Engineering 
1341,Zhaobai Jiang ,$2.3 B,58,China,real estate,Real Estate 
1341,Osman Kibar ,$2.3 B,51,United States,biotech,Healthcare 
1341,Adam Kwok ,$2.3 B,39,Hong Kong,real estate,Real Estate 
1341,Frank Laukien ,$2.3 B,62,United States,scientific equipment,Manufacturing 
1341,Louis Le Duff ,$2.3 B,75,France,bakeries,Food & Beverage 
1341,Solomon Lew ,$2.3 B,77,Australia,retail,Fashion & Retail 
1341,Liang Rubo ,$2.3 B,39,China,TikTok,Technology 
1341,Liang Zhaoxian ,$2.3 B,57,China,appliances,Manufacturing 
1341,Prayudh Mahagitsiri ,$2.3 B,76,Thailand,"coffee, shipping",Food & Beverage 
1341,Clayton Mathile ,$2.3 B,81,United States,pet food,Food & Beverage 
1341,Erwin Franz Mueller ,$2.3 B,89,Germany,drugstores,Fashion & Retail 
1341,David Murdock ,$2.3 B,98,United States,"Dole, real estate",Food & Beverage 
1341,Rubens Ometto Silveira Mello ,$2.3 B,72,Brazil,"sugar, ethanol",Energy 
1341,Erik Paulsson & family ,$2.3 B,80,Sweden,"construction, real estate",Real Estate 
1341,Heloise Pratt ,$2.3 B,59,Australia,"manufacturing, investment",Manufacturing 
1341,Qiu Jianping & family ,$2.3 B,60,China,hand tools,Manufacturing 
1341,Dirk Rossmann & family ,$2.3 B,75,Germany,drugstores,Fashion & Retail 
1341,Karin Schick ,$2.3 B,64,Germany,information technology,Technology 
1341,Stephan Schmidheiny ,$2.3 B,74,Switzerland,investments,Finance & Investments 
1341,Wenrong Shen ,$2.3 B,76,China,steel production,Metals & Mining 
1341,Guangxin Sun ,$2.3 B,59,China,diversified,Diversified 
1341,Mengquan Sun & family ,$2.3 B,72,China,edible oil,Food & Beverage 
1341,Thomas Tull ,$2.3 B,51,United States,"movies, investments",Media & Entertainment 
1341,Ted Turner ,$2.3 B,83,United States,cable television,Media & Entertainment 
1341,David Walentas ,$2.3 B,83,United States,real estate,Real Estate 
1341,Yingming Wu ,$2.3 B,55,China,batteries,Energy 
1341,Yingzhuo Xu ,$2.3 B,54,China,agribusiness,Food & Beverage 
1341,Christoph Zeller ,$2.3 B,64,Liechtenstein,dental materials,Healthcare 
1341,Zhang Wanzhen ,$2.3 B,72,China,electronics components,Manufacturing 
1341,Xiaojuan Zhang ,$2.3 B,52,China,logistics,Logistics 
1397,Michael Ashcroft ,$2.2 B,76,United Kingdom,security,Finance & Investments 
1397,Alex Atallah ,$2.2 B,30,United States,online marketplace,Technology 
1397,Brett Blundy ,$2.2 B,62,Australia,"retail, agribusiness",Fashion & Retail 
1397,Chris Britt ,$2.2 B,49,United States,fintech,Finance & Investments 
1397,Cen Junda ,$2.2 B,57,China,pharmaceuticals,Healthcare 
1397,Yadu Hari Dalmia & family ,$2.2 B,74,India,cement,Manufacturing 
1397,Zhenggang Dou ,$2.2 B,68,China,"energy, chemicals",Diversified 
1397,Weimin Du ,$2.2 B,58,China,vaccines,Healthcare 
1397,Devin Finzer ,$2.2 B,31,United States,online marketplace,Technology 
1397,Robert Friedland ,$2.2 B,71,United States,mining,Metals & Mining 
1397,Phillip Frost ,$2.2 B,85,United States,pharmaceuticals,Healthcare 
1397,Jeffrey Gundlach ,$2.2 B,63,United States,investments,Finance & Investments 
1397,John Hancock ,$2.2 B,46,Australia,mining,Metals & Mining 
1397,Georg Haub ,$2.2 B,60,Germany,retail,Fashion & Retail 
1397,Hortensia Herrero ,$2.2 B,71,Spain,supermarkets,Fashion & Retail 
1397,"B. Wayne Hughes, Jr. ",$2.2 B,61,United States,storage facilities,Real Estate 
1397,Bruce Karsh ,$2.2 B,66,United States,private equity,Finance & Investments 
1397,Shlomo Kramer ,$2.2 B,56,Israel,"software, investments",Technology 
1397,Jonathan Kwok ,$2.2 B,30,Hong Kong,Real Estate,Real Estate 
1397,Christian Latouche ,$2.2 B,81,France,accounting services,Finance & Investments 
1397,Martin Lau ,$2.2 B,49,Hong Kong,e-commerce,Technology 
1397,Li Wa ,$2.2 B,56,Hong Kong,real estate,Real Estate 
1397,Liang Xinjun ,$2.2 B,54,China,conglomerate,Diversified 
1397,Lin Chang Su-O ,$2.2 B,81,Taiwan,real estate,Real Estate 
1397,Lin Fanlian ,$2.2 B,60,China,"energy, real estate",Energy 
1397,Lin Lairong & family ,$2.2 B,53,China,iron ore mining,Metals & Mining 
1397,Daniel Lubetzky ,$2.2 B,53,United States,snack bars,Food & Beverage 
1397,Howard Marks ,$2.2 B,75,United States,private equity,Finance & Investments 
1397,Craig McCaw ,$2.2 B,72,United States,telecom,Telecom 
1397,Vincent McMahon ,$2.2 B,76,United States,entertainment,Sports 
1397,Mu Rongjun ,$2.2 B,42,China,e-commerce,Technology 
1397,Jonathan Nelson ,$2.2 B,65,United States,private equity,Finance & Investments 
1397,Bianca Rinehart ,$2.2 B,45,Australia,mining,Metals & Mining 
1397,Ginia Rinehart ,$2.2 B,35,Australia,mining,Metals & Mining 
1397,Filiz Sahenk ,$2.2 B,55,Turkey,diversified,Diversified 
1397,S.D. Shibulal ,$2.2 B,67,India,software services,Technology 
1397,Alexander Svetakov ,$2.2 B,54,Russia,real estate,Finance & Investments 
1397,Jeffrey Talpins ,$2.2 B,47,United States,hedge fund,Finance & Investments 
1397,Ming Tian ,$2.2 B,68,China,measuring instruments,Technology 
1397,Arvind Tiku ,$2.2 B,52,India,"oil & gas, investments",Energy 
1397,Torsten Toeller ,$2.2 B,55,Germany,pet food,Fashion & Retail 
1397,Riaz Valani ,$2.2 B,45,United States,e-cigarettes,Finance & Investments 
1397,Pieter van der Does ,$2.2 B,52,Netherlands,payments software,Technology 
1397,Lang Walker ,$2.2 B,76,Australia,real estate,Real Estate 
1397,Hope Welker ,$2.2 B,36,Australia,mining,Metals & Mining 
1397,Xie Bingkun & family ,$2.2 B,55,China,pearlescent pigments,Fashion & Retail 
1397,William Young ,$2.2 B,81,United States,plastics,Manufacturing 
1397,Zhou Jian ,$2.2 B,45,China,solar energy equipment,Energy 
1445,Bill and Jean Adderley & family ,$2.1 B,64,United Kingdom,home furnishings,Fashion & Retail 
1445,Mohamed Al Fayed ,$2.1 B,93,Egypt,"retail, investments",Fashion & Retail 
1445,Faisal Bin Qassim Al Thani ,$2.1 B,74,Qatar,"hotels, diversified",Diversified 
1445,Masaaki Arai ,$2.1 B,56,Japan,home sales,Real Estate 
1445,Tatyana Bakalchuk ,$2.1 B,46,Russia,ecommerce,Fashion & Retail 
1445,Lee Bass ,$2.1 B,65,United States,"oil, investments",Energy 
1445,Alberto Bombassei ,$2.1 B,81,Italy,automotive brakes,Automotive 
1445,Jim Breyer ,$2.1 B,60,United States,venture capital,Technology 
1445,Ron Burkle ,$2.1 B,69,United States,"supermarkets, investments",Finance & Investments 
1445,Chen Huwen ,$2.1 B,51,China,stationery,Manufacturing 
1445,Chen Huxiong ,$2.1 B,51,China,stationery,Manufacturing 
1445,Chen Xuehua ,$2.1 B,61,China,nonferrous,Metals & Mining 
1445,Bruce Cheng ,$2.1 B,86,Taiwan,electronics,Technology 
1445,Ryan Cohen ,$2.1 B,36,Canada,investments,Finance & Investments 
1445,Dermot Desmond ,$2.1 B,71,Ireland,finance,Finance & Investments 
1445,Fred Ehrsam ,$2.1 B,33,United States,cryptocurrency exchange,Finance & Investments 
1445,John Elkann ,$2.1 B,46,Italy,"FIAT, investments",Finance & Investments 
1445,Bob Ell ,$2.1 B,77,Australia,real estate,Real Estate 
1445,Fang Xiaoliang & family ,$2.1 B,63,China,biotech,Healthcare 
1445,Lindsay Fox ,$2.1 B,84,Australia,"logistics, real estate",Logistics 
1445,Gary Friedman ,$2.1 B,64,United States,Furniture retail,Fashion & Retail 
1445,Gordon Getty ,$2.1 B,88,United States,Getty Oil,Energy 
1445,Dennis Gillings ,$2.1 B,77,United Kingdom,clinical trials,Healthcare 
1445,Harsh Goenka ,$2.1 B,64,India,diversified,Diversified 
1445,David Hains ,$2.1 B,91,Australia,Investments,Finance & Investments 
1445,Bahaa Hariri ,$2.1 B,55,Lebanon,"real estate, investments",Real Estate 
1445,Shmuel Harlap ,$2.1 B,77,Israel,automotive,Automotive 
1445,Gerry Harvey ,$2.1 B,82,Australia,retail,Fashion & Retail 
1445,Reid Hoffman ,$2.1 B,54,United States,LinkedIn,Technology 
1445,Hou Juncheng ,$2.1 B,57,China,cosmetics,Healthcare 
1445,Thomas James ,$2.1 B,79,United States,finance,Finance & Investments 
1445,Eiichi Kuriwada ,$2.1 B,75,Japan,package delivery,Logistics 
1445,Kwek Leng Kee ,$2.1 B,67,Singapore,diversified,Diversified 
1445,Lai Shixian ,$2.1 B,47,China,sports apparel,Fashion & Retail 
1445,Lau Cho Kun ,$2.1 B,86,Malaysia,"palm oil, property",Diversified 
1445,Lee Hae-jin ,$2.1 B,54,South Korea,Internet,Technology 
1445,Harald Link ,$2.1 B,67,Thailand,diversified,Diversified 
1445,Liu Xiucai & family ,$2.1 B,65,United States,chemicals,Manufacturing 
1445,Yangyong Luo & family ,$2.1 B,46,China,mining,Metals & Mining 
1445,Igor Makarov ,$2.1 B,60,Russia,investments,Energy 
1445,Alexander Mamut ,$2.1 B,62,Russia,investments,Finance & Investments 
1445,David Mindus ,$2.1 B,50,Sweden,real estate,Real Estate 
1445,Yuji Otsuka ,$2.1 B,68,Japan,"copy machines, software",Technology 
1445,Clive Palmer ,$2.1 B,68,Australia,mining,Metals & Mining 
1445,Ajay Parekh ,$2.1 B,64,India,adhesives,Manufacturing 
1445,Narendrakumar Parekh ,$2.1 B,83,India,adhesives,Manufacturing 
1445,Xiangdong Qi ,$2.1 B,51,China,software,Technology 
1445,Jianhua Ren ,$2.1 B,65,China,kitchen appliances,Manufacturing 
1445,Alice Schwartz ,$2.1 B,95,United States,biotech,Healthcare 
1445,Peter Sondakh ,$2.1 B,72,Indonesia,investments,Finance & Investments 
1445,Song Fei ,$2.1 B,55,China,machinery,Manufacturing 
1445,Timothy Springer ,$2.1 B,74,United States,biotech,Healthcare 
1445,Suyu Su & family ,$2.1 B,73,China,"utilities, real estate",Real Estate 
1445,Elizabeth Sy ,$2.1 B,69,Philippines,diversified,Diversified 
1445,Sukanto Tanoto ,$2.1 B,72,Indonesia,diversified,Diversified 
1445,Jayshree Ullal ,$2.1 B,61,United States,computer networking,Technology 
1445,Sunny Varkey ,$2.1 B,64,India,education,Service 
1445,Jitendra Virwani ,$2.1 B,56,India,real estate,Real Estate 
1445,Wang Ren-sheng ,$2.1 B,90,Taiwan,retail,Fashion & Retail 
1445,Wang Wenmo ,$2.1 B,65,China,sports apparel,Fashion & Retail 
1445,Thomas Wu ,$2.1 B,72,Taiwan,finance,Finance & Investments 
1445,Wu Ying ,$2.1 B,57,China,materials,Manufacturing 
1445,Amy Wyss ,$2.1 B,51,United States,medical equipment,Healthcare 
1445,Xiang Guangming & family ,$2.1 B,58,China,waste disposal,Manufacturing 
1445,Xu Shugen ,$2.1 B,56,China,"construction, mining machinery",Manufacturing 
1445,Steven Meng Yang & family ,$2.1 B,39,China,electronics,Technology 
1445,Clayton Zekelman ,$2.1 B,53,Canada,steel,Manufacturing 
1445,Hongfei Zhao ,$2.1 B,47,China,software,Technology 
1513,S. Daniel Abraham ,$2 B,97,United States,Slim-Fast,Food & Beverage 
1513,Aziz Akhannouch & family ,$2 B,61,Morocco,"petroleum, diversified",Diversified 
1513,Andrey Andreev ,$2 B,48,United Kingdom,online dating,Technology 
1513,Ramon Ang ,$2 B,68,Philippines,diversified,Food & Beverage 
1513,Guilherme Benchimol ,$2 B,45,Brazil,financial services,Finance & Investments 
1513,Julio Bozano ,$2 B,86,Brazil,banking,Finance & Investments 
1513,Ryan Breslow ,$2 B,27,United States,e-commerce software,Technology 
1513,Cao Jianwei ,$2 B,43,China,semiconductors,Manufacturing 
1513,Herb Chambers ,$2 B,80,United States,car dealerships,Automotive 
1513,Daniel Chiu ,$2 B,61,Hong Kong,oil & gas,Energy 
1513,Tim Cook ,$2 B,61,United States,Apple,Technology 
1513,Brunello Cucinelli & family ,$2 B,68,Italy,fashion,Fashion & Retail 
1513,Georgi Domuschiev ,$2 B,49,Bulgaria,"animal health, investments",Diversified 
1513,Kiril Domuschiev ,$2 B,52,Bulgaria,"animal health, investments",Diversified 
1513,Glenn Dubin ,$2 B,64,United States,hedge funds,Finance & Investments 
1513,James Duff ,$2 B,61,United States,"tires, diversified",Diversified 
1513,Thomas Duff ,$2 B,65,United States,"tires, diversified",Diversified 
1513,Robert Duggan ,$2 B,77,United States,pharmaceuticals,Healthcare 
1513,Maria Franca Fissolo ,$2 B,87,Italy,"Nutella, chocolates",Food & Beverage 
1513,Fu Mingkang & family ,$2 B,59,China,manufacturing,Manufacturing 
1513,Jay Hennick ,$2 B,65,Canada,real estate finance,Finance & Investments 
1513,Orion Hindawi ,$2 B,42,United States,software,Technology 
1513,Ji Qi ,$2 B,55,China,"hotels, motels",Real Estate 
1513,Kim Chang-soo ,$2 B,61,South Korea,apparel,Fashion & Retail 
1513,Vyacheslav Kim ,$2 B,52,Kazakhstan,fintech,Finance & Investments 
1513,Kuan Kam Hon & family ,$2 B,74,Malaysia,rubber gloves,Manufacturing 
1513,Egor Kulkov ,$2 B,50,Russia,pharmaceuticals,Healthcare 
1513,Josh Kushner ,$2 B,36,United States,venture capital,Finance & Investments 
1513,Henry Laufer ,$2 B,76,United States,hedge funds,Finance & Investments 
1513,Thomas Lee ,$2 B,78,United States,private equity,Finance & Investments 
1513,Michael Lee-Chin ,$2 B,71,Canada,mutual funds,Finance & Investments 
1513,Li Xuhui ,$2 B,53,China,soy sauce,Food & Beverage 
1513,Lim Kok Thay ,$2 B,70,Malaysia,casinos,Gambling & Casinos 
1513,Joao Roberto Marinho ,$2 B,68,Brazil,media,Media & Entertainment 
1513,Jose Roberto Marinho ,$2 B,66,Brazil,media,Media & Entertainment 
1513,Roberto Irineu Marinho ,$2 B,74,Brazil,media,Media & Entertainment 
1513,Jim McKelvey ,$2 B,56,United States,mobile payments,Technology 
1513,Robert Miller ,$2 B,88,United Kingdom,retail,Fashion & Retail 
1513,David Nahmad ,$2 B,74,Monaco,art collection,Fashion & Retail 
1513,Florentino Perez ,$2 B,75,Spain,construction,Construction & Engineering 
1513,Jennifer Pritzker ,$2 B,71,United States,"hotels, investments",Finance & Investments 
1513,Linda Pritzker ,$2 B,68,United States,"hotels, investments",Service 
1513,P.V. Ramprasad Reddy ,$2 B,64,India,pharmaceuticals,Healthcare 
1513,"Joe Rogers, Jr. ",$2 B,75,United States,Waffle House,Food & Beverage 
1513,Ruan Shuilong & family ,$2 B,86,China,chemicals,Manufacturing 
1513,Phil Ruffin ,$2 B,87,United States,"casinos, real estate",Diversified 
1513,Vinod Saraf ,$2 B,69,India,chemicals,Manufacturing 
1513,Maria-Elisabeth Schaeffler-Thumann ,$2 B,80,Germany,auto parts,Automotive 
1513,Genhuo Shao ,$2 B,56,China,agribusiness,Food & Beverage 
1513,Shen Xiqiang & family ,$2 B,74,China,chemical,Energy 
1513,Shi Wen-long ,$2 B,94,Taiwan,plastics,Manufacturing 
1513,Thaksin Shinawatra ,$2 B,72,Thailand,investments,Finance & Investments 
1513,Alexander Skorobogatko ,$2 B,54,Russia,"real estate, airport",Logistics 
1513,Sylvia Stroeher ,$2 B,66,Germany,cosmetics,Fashion & Retail 
1513,Wichai Thongtang ,$2 B,75,Thailand,investments,Finance & Investments 
1513,Todd Wagner ,$2 B,61,United States,online media,Media & Entertainment 
1513,Wang Jianguo ,$2 B,62,China,retail,Fashion & Retail 
1513,Shuifu Wang ,$2 B,67,China,Manufacturing,Manufacturing 
1513,Wenbiao Wang ,$2 B,65,China,"natural gas, fertilizers",Manufacturing 
1513,Kanye West ,$2 B,44,United States,"music, sneakers",Fashion & Retail 
1513,Evan Williams ,$2 B,50,United States,Twitter,Technology 
1513,Zhongyi Wu ,$2 B,48,China,electronics,Technology 
1513,Zhihan Xu ,$2 B,49,China,electronics,Technology 
1513,Yan Zhi ,$2 B,49,China,real estate,Real Estate 
1513,Michael Ying ,$2 B,72,Hong Kong,retail,Fashion & Retail 
1513,Yuan Liping ,$2 B,51,Canada,pharmaceuticals,Healthcare 
1579,Anu Aga ,$1.9 B,79,India,engineering,Construction & Engineering 
1579,Joy Alukkas ,$1.9 B,65,India,jewelry,Fashion & Retail 
1579,Sezai Bacaksiz ,$1.9 B,72,Turkey,diversified,Diversified 
1579,Baokun Bai ,$1.9 B,52,China,hardware,Manufacturing 
1579,Acharya Balkrishna ,$1.9 B,49,India,consumer goods,Food & Beverage 
1579,Kiki Barki ,$1.9 B,82,Indonesia,coal,Energy 
1579,John Bloor ,$1.9 B,78,United Kingdom,"real estate, manufacturing",Diversified 
1579,Nicola Bulgari ,$1.9 B,81,Italy,luxury goods,Fashion & Retail 
1579,Alejandro Bulgheroni ,$1.9 B,77,Argentina,oil & gas,Energy 
1579,Chen Kaichen ,$1.9 B,64,China,household chemicals,Manufacturing 
1579,Fernando Chico Pardo ,$1.9 B,70,Mexico,airport management,Service 
1579,Jose Luis Cutrale ,$1.9 B,75,Brazil,orange juice,Food & Beverage 
1579,D. Leopoldo Del Pino ,$1.9 B,59,Spain,construction,Construction & Engineering 
1579,James Dinan ,$1.9 B,62,United States,hedge funds,Finance & Investments 
1579,Francois Feuillet & family ,$1.9 B,73,France,"motorhomes, RVs",Automotive 
1579,Guangming Fu & family ,$1.9 B,68,China,poultry,Food & Beverage 
1579,Mario Gabelli ,$1.9 B,80,United States,money management,Finance & Investments 
1579,Reinold Geiger ,$1.9 B,74,Austria,beauty products,Fashion & Retail 
1579,He Zhenggang ,$1.9 B,68,China,chemicals,Manufacturing 
1579,Roberto Hernandez Ramirez ,$1.9 B,80,Mexico,"banking, investments",Finance & Investments 
1579,Hoi Kin Hong ,$1.9 B,69,Macau,real estate,Real Estate 
1579,Huang Qiaoling ,$1.9 B,63,China,amusement parks,Media & Entertainment 
1579,Willis Johnson ,$1.9 B,74,United States,damaged cars,Automotive 
1579,Keeree Kanjanapas ,$1.9 B,71,Thailand,transportation,Real Estate 
1579,Kim Dae-il ,$1.9 B,42,South Korea,mobile gaming,Technology 
1579,Kim Hyoung-nyon ,$1.9 B,46,South Korea,fintech,Finance & Investments 
1579,Andrei Kozitsyn ,$1.9 B,61,Russia,metals,Metals & Mining 
1579,Thomas Kwok ,$1.9 B,70,Hong Kong,real estate,Real Estate 
1579,Lei Jufang ,$1.9 B,69,China,pharmaceuticals,Healthcare 
1579,David Lichtenstein ,$1.9 B,60,United States,real estate,Real Estate 
1579,Lin Dingqiang & family ,$1.9 B,55,Hong Kong,real estate,Real Estate 
1579,Mikhail Lomtadze ,$1.9 B,46,Georgia,fintech,Finance & Investments 
1579,Melissa Ma ,$1.9 B,64,China,Internet search,Technology 
1579,Yusaku Maezawa ,$1.9 B,46,Japan,online retail,Technology 
1579,Katarina Martinson ,$1.9 B,40,Sweden,investments,Diversified 
1579,Shouliang Miao ,$1.9 B,67,China,real estate,Real Estate 
1579,Romano Minozzi ,$1.9 B,87,Italy,"utilities, diversified",Diversified 
1579,Pedro Moreira Salles ,$1.9 B,62,Brazil,"banking, minerals",Diversified 
1579,Alexander Nesis ,$1.9 B,59,Russia,"metals, banking, fertilizers",Finance & Investments 
1579,Nguyen Dang Quang ,$1.9 B,58,Vietnam,"consumer products, banking",Food & Beverage 
1579,Oei Hong Leong ,$1.9 B,74,Singapore,investments,Finance & Investments 
1579,Nihat Ozdemir ,$1.9 B,72,Turkey,diversified,Diversified 
1579,Gretel Packer ,$1.9 B,56,Australia,casinos,Media & Entertainment 
1579,Benjamin Zhengmin Pan & family ,$1.9 B,52,China,electronics,Technology 
1579,Victor Pinchuk ,$1.9 B,61,Ukraine,"steel pipes, diversified",Metals & Mining 
1579,Alexander Ponomarenko ,$1.9 B,57,Russia,"real estate, airport",Logistics 
1579,Qi Jinxing ,$1.9 B,60,China,real estate,Real Estate 
1579,Larry Robbins ,$1.9 B,52,United States,hedge funds,Finance & Investments 
1579,Dwight Schar ,$1.9 B,80,United States,"homebuilding, NFL team",Construction & Engineering 
1579,Shi Yifeng ,$1.9 B,48,China,medical cosmetics,Healthcare 
1579,Sun Hongjun ,$1.9 B,48,China,semiconductors,Technology 
1579,Anand Surana ,$1.9 B,51,India,pharmaceuticals,Healthcare 
1579,Dilip Surana ,$1.9 B,56,India,pharmaceuticals,Healthcare 
1579,Djoko Susanto ,$1.9 B,72,Indonesia,supermarkets,Fashion & Retail 
1579,Sze Man Bok ,$1.9 B,72,China,hygiene products,Manufacturing 
1579,Alain Taravella ,$1.9 B,74,France,real estate development,Real Estate 
1579,Martin Viessmann ,$1.9 B,68,Germany,heating and cooling equipment,Manufacturing 
1579,Georg von Opel ,$1.9 B,55,Switzerland,"real estate, investments",Finance & Investments 
1579,Changtian Wang ,$1.9 B,56,China,"TV, movie production",Media & Entertainment 
1579,Wang Chaobin ,$1.9 B,66,China,real estate,Real Estate 
1579,Wang Chou-hsiong ,$1.9 B,81,Taiwan,footwear,Manufacturing 
1579,Wang Xiaoshen ,$1.9 B,53,China,lithium,Manufacturing 
1579,Wei Yin-Heng ,$1.9 B,63,Taiwan,"food, beverages",Food & Beverage 
1579,Xue Xiangdong & family ,$1.9 B,63,China,software,Technology 
1579,Yuan Fugen & family ,$1.9 B,71,China,metal processing,Manufacturing 
1579,David Zalik ,$1.9 B,48,United States,financial technology,Technology 
1645,Leslie Alexander ,$1.8 B,78,United States,sports team,Sports 
1645,Igor Altushkin ,$1.8 B,51,Russia,metals,Metals & Mining 
1645,Roberto Angelini Rossi ,$1.8 B,73,Chile,"forestry, mining",Diversified 
